# score_time, perf_time
0.000000000000000000e+00,1.393197278911564752e+00
1.160997732426303879e-02,1.404807256235827584e+00
2.321995464852607757e-02,1.416417233560090638e+00
3.482993197278911462e-02,1.428027210884353693e+00
4.643990929705215515e-02,1.439637188208616747e+00
5.804988662131519567e-02,1.451247165532879801e+00
6.965986394557822925e-02,1.462857142857142856e+00
8.126984126984126977e-02,1.474467120181405910e+00
9.287981859410431029e-02,1.486077097505668965e+00
1.044897959183673508e-01,1.497687074829932019e+00
1.160997732426303913e-01,1.509297052154195073e+00
1.277097505668934319e-01,1.520907029478458128e+00
1.393197278911564585e-01,1.532517006802721182e+00
1.509297052154195129e-01,1.544126984126984237e+00
1.625396825396825395e-01,1.555736961451247291e+00
1.741496598639455939e-01,1.567346938775510345e+00
1.857596371882086206e-01,1.578956916099773178e+00
1.973696145124716472e-01,1.590566893424036232e+00
2.089795918367347016e-01,1.602176870748299287e+00
2.205895691609977283e-01,1.613786848072562341e+00
2.321995464852607827e-01,1.625396825396825395e+00
2.438095238095238093e-01,1.637006802721088450e+00
2.554195011337868637e-01,1.648616780045351504e+00
2.670294784580499181e-01,1.660226757369614559e+00
2.786394557823129170e-01,1.671836734693877613e+00
2.902494331065759714e-01,1.683446712018140667e+00
3.018594104308390258e-01,1.695056689342403722e+00
3.134693877551020247e-01,1.706666666666666776e+00
3.250793650793650791e-01,1.718276643990929831e+00
3.366893424036281335e-01,1.729886621315192885e+00
3.482993197278911879e-01,1.741496598639455717e+00
3.599092970521541868e-01,1.753106575963718772e+00
3.715192743764172412e-01,1.764716553287981826e+00
3.831292517006802956e-01,1.776326530612244881e+00
3.947392290249432945e-01,1.787936507936507935e+00
4.063492063492063489e-01,1.799546485260770989e+00
4.179591836734694033e-01,1.811156462585034044e+00
4.295691609977324577e-01,1.822766439909297098e+00
4.411791383219954565e-01,1.834376417233560153e+00
4.527891156462585109e-01,1.845986394557823207e+00
4.643990929705215653e-01,1.857596371882086261e+00
4.760090702947845642e-01,1.869206349206349316e+00
4.876190476190476186e-01,1.880816326530612370e+00
4.992290249433106730e-01,1.892426303854875425e+00
5.108390022675737274e-01,1.915646258503401311e+00
5.224489795918367818e-01,1.927256235827664366e+00
5.340589569160998362e-01,1.938866213151927420e+00
5.456689342403627796e-01,1.950476190476190474e+00
5.572789115646258340e-01,1.962086167800453529e+00
5.688888888888888884e-01,1.973696145124716583e+00
5.804988662131519428e-01,1.985306122448979638e+00
5.921088435374149972e-01,1.996916099773242692e+00
6.037188208616780516e-01,2.008526077097505524e+00
6.153287981859411060e-01,2.020136054421768801e+00
6.269387755102040494e-01,2.031746031746031633e+00
6.385487528344671038e-01,2.043356009070294910e+00
6.501587301587301582e-01,2.054965986394557742e+00
6.617687074829932126e-01,2.089795918367347127e+00
6.733786848072562670e-01,2.101405895691609960e+00
6.849886621315193214e-01,2.113015873015873236e+00
6.965986394557823758e-01,2.124625850340136068e+00
7.082086167800453191e-01,2.147845804988662177e+00
7.198185941043083735e-01,2.159455782312925010e+00
7.314285714285714279e-01,2.171065759637188286e+00
7.430385487528344823e-01,2.182675736961451118e+00
7.546485260770975367e-01,2.194285714285714395e+00
7.662585034013605911e-01,2.205895691609977227e+00
7.778684807256236455e-01,2.217505668934240504e+00
7.894784580498865889e-01,2.229115646258503336e+00
8.010884353741496433e-01,2.240725623582766612e+00
8.126984126984126977e-01,2.298775510204081662e+00
8.243083900226757521e-01,2.310385487528344939e+00
8.359183673469388065e-01,2.321995464852607771e+00
8.475283446712018609e-01,2.356825396825396712e+00
8.591383219954649153e-01,2.368435374149659989e+00
8.707482993197278587e-01,2.380045351473922821e+00
8.823582766439909131e-01,2.391655328798186098e+00
8.939682539682539675e-01,2.403265306122448930e+00
9.055782312925170219e-01,2.414875283446712206e+00
9.171882086167800763e-01,2.426485260770975039e+00
9.287981859410431307e-01,2.438095238095238315e+00
9.404081632653061851e-01,2.449705215419501148e+00
9.520181405895691285e-01,2.461315192743764424e+00
9.636281179138321829e-01,2.472925170068027256e+00
9.752380952380952372e-01,2.484535147392290089e+00
9.868480725623582916e-01,2.496145124716553365e+00
9.984580498866213460e-01,2.507755102040816197e+00
1.010068027210884400e+00,2.519365079365079474e+00
1.021678004535147455e+00,2.530975056689342306e+00
1.033287981859410509e+00,2.542585034013605583e+00
1.044897959183673564e+00,2.554195011337868415e+00
1.056507936507936618e+00,2.565804988662131692e+00
1.068117913832199672e+00,2.577414965986394524e+00
1.079727891156462505e+00,2.589024943310657800e+00
1.091337868480725559e+00,2.635464852607710018e+00
1.102947845804988614e+00,2.647074829931972850e+00
1.114557823129251668e+00,2.658684807256235683e+00
1.126167800453514722e+00,2.705124716553287900e+00
1.137777777777777777e+00,2.716734693877551177e+00
1.149387755102040831e+00,2.728344671201814009e+00
1.160997732426303886e+00,2.739954648526077285e+00
1.172607709750566940e+00,2.751564625850340118e+00
1.184217687074829994e+00,2.763174603174603394e+00
1.195827664399093049e+00,2.774784580498866227e+00
1.207437641723356103e+00,2.786394557823129503e+00
1.219047619047619158e+00,2.798004535147392335e+00
1.230657596371882212e+00,2.844444444444444553e+00
1.242267573696145044e+00,2.856054421768707385e+00
1.253877551020408099e+00,2.867664399092970662e+00
1.265487528344671153e+00,2.879274376417233494e+00
1.277097505668934208e+00,2.890884353741496771e+00
1.288707482993197262e+00,2.902494331065759603e+00
1.300317460317460316e+00,2.914104308390022879e+00
1.311927437641723371e+00,2.925714285714285712e+00
1.323537414965986425e+00,2.937324263038548988e+00
1.335147392290249480e+00,2.948934240362811821e+00
1.346757369614512534e+00,2.960544217687075097e+00
1.358367346938775588e+00,2.972154195011337929e+00
1.369977324263038643e+00,2.983764172335600762e+00
1.381587301587301697e+00,2.995374149659864038e+00
1.393197278911564752e+00,3.006984126984126870e+00
1.404807256235827584e+00,3.018594104308390147e+00
1.416417233560090638e+00,3.030204081632652979e+00
1.428027210884353693e+00,3.041814058956916256e+00
1.439637188208616747e+00,3.053424036281179088e+00
1.451247165532879801e+00,3.065034013605442365e+00
1.462857142857142856e+00,3.076643990929705197e+00
1.474467120181405910e+00,3.088253968253968473e+00
1.486077097505668965e+00,3.099863945578231306e+00
1.497687074829932019e+00,3.111473922902494582e+00
1.509297052154195073e+00,3.123083900226757414e+00
1.520907029478458128e+00,3.134693877551020691e+00
1.532517006802721182e+00,3.146303854875283523e+00
1.544126984126984237e+00,3.181133786848072464e+00
1.555736961451247291e+00,3.192743764172335741e+00
1.567346938775510345e+00,3.204353741496598573e+00
1.578956916099773178e+00,3.215963718820861850e+00
1.590566893424036232e+00,3.227573696145124682e+00
1.602176870748299287e+00,3.262403628117914067e+00
1.613786848072562341e+00,3.285623582766440176e+00
1.625396825396825395e+00,3.297233560090703008e+00
1.637006802721088450e+00,3.332063492063491950e+00
